tecnologia,mcc,net,operador,lac,cellid,latitud,longitud,cobertura,fecha,id
UMTS,736,3,Tigo,37800,7248027,-17.386074,-66.158506,2688,2019-08-03 20:19:21+00:00,151567
UMTS,736,3,Tigo,37800,7263027,-17.388346,-66.155585,1000,2019-08-02 17:39:12+00:00,151566
UMTS,736,3,Tigo,37800,7237027,-17.38853,-66.155816,1000,2019-08-02 17:39:12+00:00,151565
UMTS,736,3,Tigo,37800,7247038,-17.389371,-66.155371,1000,2019-08-02 17:40:10+00:00,151564
UMTS,736,3,Tigo,37800,7226963,-17.389802,-66.15742,1000,2019-03-08 16:53:35+00:00,151563
LTE,736,3,Tigo,47461,20499972,-17.391961,-66.153877,1000,2019-04-12 17:50:27+00:00,151562
LTE,736,3,Tigo,47461,20530949,-17.393843,-66.13712,2747,2019-04-14 12:53:28+00:00,151561
UMTS,736,3,Tigo,37800,7253085,-17.388626,-66.136742,1000,2019-01-19 08:46:14+00:00,151560
LTE,736,3,Tigo,47451,20502021,-17.388626,-66.136742,1000,2019-01-19 08:46:24+00:00,151559
UMTS,736,3,Tigo,37800,7228085,-17.388626,-66.136742,1000,2019-01-19 08:45:59+00:00,151558
LTE,736,3,Tigo,47461,20530950,-17.391662,-66.138257,1000,2019-04-14 12:52:29+00:00,151557
UMTS,736,3,Tigo,37800,7238012,-17.385238,-66.146347,1000,2019-02-13 11:23:36+00:00,151556
UMTS,736,3,Tigo,37800,7248012,-17.38275,-66.150757,1000,2019-01-19 08:34:04+00:00,151555
LTE,736,3,Tigo,47461,20494854,-17.377475,-66.169145,1000,2019-07-14 19:26:26+00:00,151554
UMTS,736,3,Tigo,37800,7227156,-17.38433,-66.158405,2931,2019-08-04 20:09:21+00:00,151553
UMTS,736,3,Tigo,37800,7227118,-17.382773,-66.162884,2234,2019-06-07 11:06:22+00:00,151552
UMTS,736,3,Tigo,37800,7237968,-17.381412,-66.15671,3270,2019-07-27 11:29:19+00:00,151551
UMTS,736,3,Tigo,37803,7883455,-17.378433,-66.174476,7416,2019-05-31 18:03:49+00:00,151550
UMTS,736,3,Tigo,37801,7247196,-17.379509,-66.17119,7778,2019-05-31 18:04:39+00:00,151549
UMTS,736,3,Tigo,37801,7227050,-17.383458,-66.163376,5664,2019-05-31 17:59:10+00:00,151548
LTE,736,3,Tigo,47461,20494853,-17.380423,-66.165621,2030,2019-05-31 17:57:09+00:00,151547
UMTS,736,3,Tigo,37800,7238103,-17.380064,-66.157528,1752,2019-05-31 17:54:54+00:00,151546
UMTS,736,3,Tigo,37800,7272994,-17.392753,-66.146976,1000,2019-05-31 17:54:12+00:00,151545
UMTS,736,3,Tigo,37800,7262994,-17.393578,-66.147787,1000,2019-05-31 17:53:45+00:00,151544
LTE,736,3,Tigo,47461,20488709,-17.393389,-66.145298,4183,2019-05-31 17:53:43+00:00,151543
UMTS,736,3,Tigo,37800,7247039,-17.387715,-66.154465,1001,2019-05-31 17:53:03+00:00,151542
UMTS,736,3,Tigo,37800,7227027,-17.385805,-66.155375,5493,2019-07-27 11:28:12+00:00,151541
LTE,736,3,Tigo,47461,20510982,-17.394116,-66.146576,8046,2019-05-30 21:36:39+00:00,151540
UMTS,736,3,Tigo,37800,7228027,-17.384285,-66.15804,2150,2019-06-21 11:04:34+00:00,151539
UMTS,736,3,Tigo,37800,7253027,-17.385503,-66.157502,1960,2019-05-30 18:34:22+00:00,151538
GSM,736,3,Tigo,27460,24031,-17.394065,-66.174918,3565,2019-05-30 18:13:53+00:00,151537
UMTS,736,3,Tigo,37801,7247047,-17.379481,-66.167813,3474,2019-06-05 20:45:09+00:00,151536
LTE,736,3,Tigo,47460,20530438,-17.383324,-66.168637,6052,2019-07-14 11:56:03+00:00,151535
UMTS,736,3,Tigo,37801,7237974,-17.380991,-66.170518,6998,2019-06-05 19:40:00+00:00,151534
UMTS,736,3,Tigo,37800,7253073,-17.39216,-66.152182,1000,2019-05-21 12:31:49+00:00,151533
UMTS,736,3,Tigo,37800,7262963,-17.381383,-66.161637,6082,2019-06-07 11:04:54+00:00,151532
UMTS,736,3,Tigo,37800,7236987,-17.394738,-66.154728,5784,2019-06-07 11:10:22+00:00,151531
UMTS,736,3,Tigo,37800,7227079,-17.378168,-66.168281,7644,2019-05-19 15:15:31+00:00,151530
UMTS,736,3,Tigo,37800,7227163,-17.38443,-66.166963,1862,2019-06-21 11:05:29+00:00,151529
