latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo,id
-17.38996,-66.158401,-55,andy2662,2021-10-17 12:34:26.685000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,728
-17.388897,-66.158622,-60,andy2662,2021-10-17 12:34:06.681000+00:00,Centro Prueba 1,Ninguna,Entel,21,ZTE CORPORATION,736023035923079,MF193A,727
-17.388319,-66.158689,-66,andy2662,2021-10-17 12:33:55.675000+00:00,Centro Prueba 1,Ninguna,Entel,18,ZTE CORPORATION,736023035923079,MF193A,726
-17.387915,-66.15863,-68,andy2662,2021-10-17 12:33:44.674000+00:00,Centro Prueba 1,Ninguna,Entel,21,ZTE CORPORATION,736023035923079,MF193A,725
-17.387481,-66.158578,-58,andy2662,2021-10-17 12:33:33.670000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,724
-17.387147,-66.15845,-55,andy2662,2021-10-17 12:33:24.669000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,723
-17.387073,-66.15802,-59,andy2662,2021-10-17 12:33:09.660000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,722
-17.386888,-66.157514,-46,andy2662,2021-10-17 12:32:58.661000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,721
-17.38677,-66.157356,-47,andy2662,2021-10-17 12:32:49.652000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,720
-17.386579,-66.156943,-43,andy2662,2021-10-17 12:32:39.656000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,719
-17.38627,-66.157048,-44,andy2662,2021-10-17 12:32:27.656000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,718
-17.385813,-66.157378,-46,andy2662,2021-10-17 12:32:18.656000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,717
-17.384953,-66.15789,-47,andy2662,2021-10-17 12:32:10.191000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,716
-17.386737,-66.156218,-37,andy2662,2021-10-17 12:30:51.658000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,715
-17.387154,-66.155918,-49,andy2662,2021-10-17 12:30:39.656000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,714
-17.387456,-66.155723,-55,andy2662,2021-10-17 12:30:28.664000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,713
-17.387639,-66.155351,-58,andy2662,2021-10-17 12:30:19.653000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,712
-17.387762,-66.155257,-59,andy2662,2021-10-17 12:30:03.654000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,711
-17.38853,-66.155078,-49,andy2662,2021-10-17 12:29:49.654000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,710
-17.388821,-66.155042,-46,andy2662,2021-10-17 12:29:40.654000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,709
-17.389239,-66.154979,-46,andy2662,2021-10-17 12:29:25.666000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,708
-17.389839,-66.154833,-50,andy2662,2021-10-17 12:29:13.652000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,707
-17.390072,-66.154836,-65,andy2662,2021-10-17 12:28:59.651000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,706
-17.39054,-66.154831,-55,andy2662,2021-10-17 12:28:50.652000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,705
-17.390809,-66.155423,-62,andy2662,2021-10-17 12:28:37.185000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,704
-17.390227,-66.15597,-63,andy2662,2021-10-17 12:28:08.655000+00:00,Centro Prueba 1,Ninguna,Entel,18,ZTE CORPORATION,736023035923079,MF193A,703
-17.389706,-66.156085,-63,andy2662,2021-10-17 12:27:58.647000+00:00,Centro Prueba 1,Ninguna,Entel,18,ZTE CORPORATION,736023035923079,MF193A,702
-17.389427,-66.156113,-69,andy2662,2021-10-17 12:27:48.651000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,701
-17.389079,-66.156114,-57,andy2662,2021-10-17 12:27:39.676000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,700
-17.388602,-66.15619,-44,andy2662,2021-10-17 12:27:29.652000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,699
-17.38827,-66.156265,-53,andy2662,2021-10-17 12:27:20.681000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,698
-17.387721,-66.156272,-56,andy2662,2021-10-17 12:27:00.650000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,697
-17.387399,-66.15634,-51,andy2662,2021-10-17 12:26:50.636000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,696
-17.386692,-66.156855,-46,andy2662,2021-10-17 12:26:19.638000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,695
-17.38642,-66.157022,-45,andy2662,2021-10-17 12:26:10.644000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,694
-17.386329,-66.157039,-47,andy2662,2021-10-17 12:25:58.638000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,693
-17.386,-66.157266,-56,andy2662,2021-10-17 12:25:49.635000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,692
-17.385389,-66.157894,-44,andy2662,2021-10-17 12:25:38.172000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,691
-17.386713,-66.157748,-43,andy2662,2021-10-17 12:25:09.628000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,690
-17.387181,-66.157721,-51,andy2662,2021-10-17 12:24:58.616000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,689
-17.387459,-66.157561,-52,andy2662,2021-10-17 12:24:35.608000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,688
-17.388091,-66.157432,-48,andy2662,2021-10-17 12:24:25.647000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,687
-17.388417,-66.157353,-41,andy2662,2021-10-17 12:24:15.626000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,686
-17.388952,-66.157297,-55,andy2662,2021-10-17 12:24:05.617000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,685
-17.389526,-66.157225,-49,andy2662,2021-10-17 12:23:55.599000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,684
-17.390027,-66.157077,-51,andy2662,2021-10-17 12:23:46.612000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,683
-17.390458,-66.157011,-47,andy2662,2021-10-17 12:23:36.614000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,682
-17.390906,-66.15694,-54,andy2662,2021-10-17 12:23:27.618000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,681
-17.391293,-66.156877,-66,andy2662,2021-10-17 12:23:18.618000+00:00,Centro Prueba 1,Ninguna,Entel,19,ZTE CORPORATION,736023035923079,MF193A,680
-17.391409,-66.156854,-65,andy2662,2021-10-17 12:23:08.607000+00:00,Centro Prueba 1,Ninguna,Entel,19,ZTE CORPORATION,736023035923079,MF193A,679
-17.391892,-66.156802,-66,andy2662,2021-10-17 12:22:55.618000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,678
-17.392359,-66.156689,-55,andy2662,2021-10-17 12:22:46.658000+00:00,Centro Prueba 1,Ninguna,Entel,20,ZTE CORPORATION,736023035923079,MF193A,677
-17.392781,-66.156621,-59,andy2662,2021-10-17 12:22:36.618000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,676
-17.393338,-66.156494,-57,andy2662,2021-10-17 12:22:27.161000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,675
-17.393523,-66.1564,-48,andy2662,2021-10-17 12:22:03.620000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,674
-17.394028,-66.156363,-51,andy2662,2021-10-17 12:21:50.620000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,673
-17.394392,-66.156331,-48,andy2662,2021-10-17 12:21:41.619000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,672
-17.394531,-66.15622,-53,andy2662,2021-10-17 12:21:28.619000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,671
-17.394942,-66.156148,-62,andy2662,2021-10-17 12:21:19.635000+00:00,Centro Prueba 1,Ninguna,Entel,21,ZTE CORPORATION,736023035923079,MF193A,670
-17.395301,-66.156026,-61,andy2662,2021-10-17 12:21:09.622000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,669
-17.395301,-66.15571,-60,andy2662,2021-10-17 12:20:59.622000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,668
