radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,3,27254,17951491,0,-68.187763,-16.495395,1000,2,1,1443739235,1505875077,0
LTE,736,3,47346,2605057,0,-63.204964,-17.819526,2242,12,1,1444421250,1505786552,0
LTE,736,2,44701,17939461,0,-63.153199,-17.775152,1519,5,1,1444503092,1506201739,0
LTE,736,3,47400,5152259,0,-65.254929,-19.043393,4679,23,1,1444852528,1506636882,0
LTE,736,3,27461,20481282,0,-66.138365,-17.40768,1614,4,1,1445025944,1506337953,0
LTE,736,3,47344,2708742,0,-63.184526,-17.769302,1041,20,1,1445052589,1506237430,0
LTE,736,1,30003,3330051,0,-63.176658,-17.759344,3291,46,1,1445204198,1506457386,0
LTE,736,3,47342,2686723,0,-63.216942,-17.800719,8520,19,1,1445557741,1505950302,0
LTE,736,3,27253,17926404,0,-68.132247,-16.500375,1000,37,1,1445796372,1548493306,0
LTE,736,3,47318,2568194,0,-63.144722,-17.750538,1467,29,1,1445977784,1506028570,0
LTE,736,3,57310,2614787,0,-63.145905,-17.758359,1528,16,1,1445977944,1506514263,0
LTE,736,3,27253,17922307,0,-68.130796,-16.504928,1000,13,1,1445987168,1506530755,0
LTE,736,3,27253,17925889,0,-68.133537,-16.504449,1000,4,1,1446000352,1506474457,0
LTE,736,3,27253,17955331,0,-68.142959,-16.497588,1000,2,1,1446060589,1493733746,0
LTE,736,3,27460,20492545,0,-66.182106,-17.397658,1000,2,1,1446087431,1493817031,0
LTE,736,3,47340,2590982,0,-63.187979,-17.761526,3518,6,1,1446136701,1494215561,0
LTE,736,3,47346,2588418,0,-63.19678,-17.819159,3682,20,1,1446235913,1506011296,0
LTE,736,3,27253,17922306,0,-68.130209,-16.506933,1000,11,1,1446309809,1506520900,0
LTE,736,3,27253,17986820,0,-68.124008,-16.514235,1000,4,1,1446331273,1506513153,0
LTE,736,3,47342,2563585,0,-63.201498,-17.800773,2688,15,1,1446564968,1494630269,0
LTE,736,3,47342,2659589,0,-63.194482,-17.782984,5310,32,1,1446575536,1506515763,0
LTE,736,3,47344,2566146,0,-63.184114,-17.779713,3017,13,1,1446595915,1506017862,0
LTE,736,3,47500,7733249,0,-64.725485,-21.536592,1000,4,1,1446785841,1506161118,0
LTE,736,3,47500,7694597,0,-64.73021,-21.53731,1845,50,1,1446785900,1506141858,0
LTE,736,3,47344,2569476,0,-63.182063,-17.776585,2114,7,1,1446857499,1505943060,0
LTE,736,3,47340,2592260,0,-63.168214,-17.77447,5222,20,1,1448575503,1558491129,0
LTE,736,3,27460,20493827,0,-66.205301,-17.354296,6162,8,1,1448660817,1494203101,0
LTE,736,3,27253,18032386,0,-68.140745,-16.496135,1643,18,1,1448745092,1505847069,0
LTE,736,3,47322,2582786,0,-63.250799,-17.347238,1001,5,1,1449083830,1506180403,0
LTE,736,2,44702,17921798,0,-63.193595,-17.821656,7693,9,1,1449604632,1493835146,0
LTE,736,2,44701,17920518,0,-63.159948,-17.75304,1000,2,1,1449604682,1505961505,0
LTE,736,2,44300,7681798,0,-65.7631,-19.576771,1000,7,1,1449604680,1505781943,0
LTE,736,2,44300,7681796,0,-65.761238,-19.576449,1000,2,1,1449604722,1505782022,0
LTE,736,2,44500,12800518,0,-65.263115,-19.03582,1000,3,1,1449604826,1493852619,0
LTE,736,2,44500,12803333,0,-65.262645,-19.050306,1000,4,1,1449604863,1505860208,0
LTE,736,2,44401,10249222,0,-66.174248,-17.382822,1000,7,1,1449605141,1555359357,0
LTE,736,3,47322,2582785,0,-63.244774,-17.342761,2494,11,1,1450904452,1505307744,0
LTE,736,3,47310,2577921,0,-63.121831,-17.739913,2618,24,1,1451238333,1506480596,0
LTE,736,3,47318,2590211,0,-63.155218,-17.695413,1000,17,1,1452267350,1505934801,0
LTE,736,1,43000,3667971,0,-64.732769,-21.549415,1000,2,1,1452247758,1576398465,0
LTE,736,2,44500,12801030,0,-65.258407,-19.024897,2219,16,1,1452267817,1505953627,0
LTE,736,1,41000,3613955,0,-67.113997,-17.968308,1000,6,1,1452544950,1494358355,0
LTE,736,3,47320,2641409,0,-63.116947,-17.770032,1188,6,1,1452564864,1506233128,0
LTE,736,3,47400,5152258,0,-65.246266,-19.042468,1142,7,1,1452802056,1505779750,0
LTE,736,3,47400,5152257,0,-65.244367,-19.034029,1000,3,1,1452802154,1505867304,0
LTE,736,1,31002,3355393,0,-63.143356,-17.733359,4167,28,1,1453232219,1506178912,0
LTE,736,3,27253,17986821,0,-68.129276,-16.516426,1000,2,1,1453253554,1506036536,0
LTE,736,3,47342,2704133,0,-63.197283,-17.766709,3486,44,1,1453257357,1506426443,0
LTE,736,3,27461,20493317,0,-66.139351,-17.389822,4566,11,1,1453293943,1505946787,0
LTE,736,3,57300,10254338,0,-64.904129,-14.829875,2058,9,1,1453440170,1494684611,0
LTE,736,3,47400,5138945,0,-65.244235,-19.037132,1000,11,1,1453499035,1493730494,0
LTE,736,3,27210,17937670,0,-68.071124,-16.539826,1000,3,1,1453820920,1505764554,0
LTE,736,3,27253,17926659,0,-68.148273,-16.49186,1567,114,1,1453956120,1494801800,0
LTE,736,3,27460,20481027,0,-66.192404,-17.367055,2999,17,1,1454198997,1506104613,0
LTE,736,3,47340,2635780,0,-63.174956,-17.746241,8269,19,1,1454455404,1506522961,0
LTE,736,3,47340,2569987,0,-63.168147,-17.762414,3110,48,1,1454455536,1506639427,0
LTE,736,3,47342,2561538,0,-63.187311,-17.764939,3491,83,1,1454457997,1506605762,0
LTE,736,3,47340,2635781,0,-63.184902,-17.765488,1629,11,1,1454957333,1505993953,0
LTE,736,3,47344,2566659,0,-63.179455,-17.780318,1000,32,1,1455070327,1506244920,0
LTE,736,3,27254,17926150,0,-68.163957,-16.503851,1000,6,1,1455121796,1548392121,0
LTE,736,3,47344,2566147,0,-63.185222,-17.789133,2254,14,1,1455137853,1494884241,0
LTE,736,3,47348,2591234,0,-63.150824,-17.77891,3837,28,1,1455229170,1494739406,0
LTE,736,3,47340,2586373,0,-63.178097,-17.753716,8523,85,1,1455231891,1506637191,0
LTE,736,3,47340,2672134,0,-63.176094,-17.750888,3615,30,1,1455232005,1506303270,0
LTE,736,3,47318,2623747,0,-63.17127,-17.734667,5457,3,1,1455239652,1494848135,0
LTE,736,3,47318,2599174,0,-63.166859,-17.743636,4818,10,1,1455240297,1506537148,0
LTE,736,3,47318,2615555,0,-63.154165,-17.744195,5646,14,1,1455240462,1506313780,0
LTE,736,3,47318,2599173,0,-63.173589,-17.757163,3186,11,1,1455240972,1505353519,0
LTE,736,3,47322,2582787,0,-63.255317,-17.344431,1000,10,1,1455300513,1506124816,0
LTE,736,3,47344,2564358,0,-63.183418,-17.783782,3352,27,1,1455318608,1506238164,0
LTE,736,3,47344,2673156,0,-63.182705,-17.78369,1000,5,1,1455319048,1506134346,0
LTE,736,3,47344,2564357,0,-63.177601,-17.787679,1847,7,1,1455319363,1494257606,0
LTE,736,3,47344,2673158,0,-63.182634,-17.784682,1000,2,1,1455324149,1506196761,0
LTE,736,2,44702,17926660,0,-63.181743,-17.813027,1000,4,1,1455376219,1505968957,0
LTE,736,3,47314,2587651,0,-63.203067,-17.837615,4994,42,1,1455378565,1506050335,0
LTE,736,3,47314,2587654,0,-63.203075,-17.836075,1000,9,1,1455380224,1494223909,0
LTE,736,3,47342,2562054,0,-63.188037,-17.76734,4747,26,1,1455383774,1506426939,0
LTE,736,3,47342,2562051,0,-63.192159,-17.769215,2230,20,1,1455422419,1505859668,0
LTE,736,3,47342,2562053,0,-63.188019,-17.773535,1000,5,1,1455494936,1506539135,0
LTE,736,3,47340,2622724,0,-63.178834,-17.748567,1508,15,1,1455670880,1506309693,0
LTE,736,3,47318,2564611,0,-63.173742,-17.737569,2073,17,1,1455671940,1506294860,0
LTE,736,3,47340,2622726,0,-63.19043,-17.740917,4878,63,1,1455684692,1506440624,0
LTE,736,3,47314,2587652,0,-63.196524,-17.84122,1657,11,1,1455733943,1506121258,0
LTE,736,1,21000,3074561,0,-66.165684,-17.371225,1552,2,1,1455836845,1505947690,0
LTE,736,3,27253,17923078,0,-68.14336,-16.49338,1000,2,1,1455995204,1548434486,0
LTE,736,3,27253,17923076,0,-68.140921,-16.494602,1000,25,1,1456014944,1548488052,0
LTE,736,3,27253,17921028,0,-68.141774,-16.486092,2102,4,1,1456015064,1548499716,0
LTE,736,1,43000,3661314,0,-64.729602,-21.55119,4035,6,1,1456075128,1576399570,0
LTE,736,3,27461,20494854,0,-66.171504,-17.374254,3223,41,1,1457550858,1506554169,0
LTE,736,3,47342,2698246,0,-63.196217,-17.782709,2723,22,1,1457563103,1506448579,0
LTE,736,3,47400,5212420,0,-65.253888,-19.044227,2683,16,1,1457570577,1505833801,0
LTE,736,3,27461,20488707,0,-66.149969,-17.390209,1000,3,1,1458042606,1506530516,0
LTE,736,3,27461,20499974,0,-66.163547,-17.382697,3069,27,1,1458042665,1506524726,0
LTE,736,3,27461,20480769,0,-66.170979,-17.387359,6768,8,1,1458042769,1506533363,0
LTE,736,3,57310,2666499,0,-62.992245,-17.75548,1000,3,1,1458137753,1506515892,0
LTE,736,3,27258,18001155,0,-68.200887,-16.491808,1000,6,1,1458361608,1494198691,0
LTE,736,1,255,3074563,0,-66.168594360352,-17.375564575195,1000,1,1,1439807656,1439807656,0
LTE,736,1,255,3329282,0,-63.18717956543,-17.794418334961,1000,1,1,1440176014,1440176014,0
LTE,736,1,255,3341571,0,-63.163833618164,-17.768325805664,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3085059,0,-66.147994995117,-17.370071411133,1000,1,1,1439807656,1439807656,0
LTE,736,1,255,3367681,0,-63.169326782227,-17.765579223633,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3338243,0,-63.178939819336,-17.765579223633,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3099651,0,-66.168594360352,-17.37419128418,1000,1,1,1439807656,1439807656,0
LTE,736,1,255,3089665,0,-66.164474487305,-17.389297485352,1000,1,1,1439807656,1439807656,0
LTE,736,1,10100,2823938,0,-68.124749,-16.52589,1000,14,1,1458598164,1477154349,0
LTE,736,1,10100,2821379,0,-68.132401,-16.502997,1000,13,1,1458598164,1479512034,0
LTE,736,1,10100,2820355,0,-68.158493041992,-16.496658325195,1000,1,1,1457461337,1457461337,0
LTE,736,1,21000,3081987,0,-66.189033,-17.373904,1000,4,1,1458598165,1492540200,0
LTE,736,1,10100,2859523,0,-68.154373,-16.495285,1000,3,1,1458598164,1479886136,0
LTE,736,1,10100,2854403,0,-68.158493041992,-16.496658325195,1000,1,1,1457461337,1457461337,0
LTE,736,1,10102,2833922,0,-68.174832,-16.556116,1000,2,1,1458598164,1505858133,0
LTE,736,1,10100,2819330,0,-68.133224,-16.495834,1000,5,1,1458598164,1477245757,0
LTE,736,1,10100,2823169,0,-68.144760131836,-16.503524780273,1000,2,1,1458598164,1474980931,0
LTE,736,1,10100,2820354,0,-68.14888,-16.501465,1000,2,1,1458598164,1468059345,0
LTE,736,1,10100,2838531,0,-68.128280639648,-16.514511108398,1000,6,1,1458598164,1475411710,0
LTE,736,1,21000,3075075,0,-66.157608032227,-17.382431030273,1000,1,1,1445068253,1445068253,0
LTE,736,1,21000,3077891,0,-66.177903,-17.367855,1000,7,1,1458598165,1506384055,0
LTE,736,1,21000,3083523,0,-66.157995,-17.395626,1000,12,1,1458598165,1584293335,0
LTE,736,1,10102,2839554,0,-68.168564,-16.496658,1000,3,1,1458598164,1476808347,0
LTE,736,1,10102,2867970,0,-68.157119750977,-16.521377563477,1000,1,1,1457461337,1457461337,0
LTE,736,1,10100,2819841,0,-68.140984,-16.497688,1000,4,1,1458598164,1478754258,0
LTE,736,1,255,3332098,0,-63.150100708008,-17.764205932617,1000,1,1,1439807663,1439807663,0
LTE,736,1,255,3347714,0,-63.16520690918,-17.834243774414,1000,1,1,1440176014,1440176014,0
LTE,736,1,255,3331586,0,-63.184432983398,-17.81364440918,1000,1,1,1440263782,1440263782,0
LTE,736,1,255,3355395,0,-63.145980834961,-17.743606567383,1000,1,1,1439807663,1439807663,0
LTE,736,1,255,3366915,0,-63.128128051758,-17.831497192383,1000,1,1,1440263782,1440263782,0
LTE,736,1,255,3329539,0,-63.176193237305,-17.801284790039,1000,1,1,1439237171,1439237171,0
LTE,736,1,255,3342594,0,-63.088302612305,-17.78205871582,1000,1,1,1440355953,1440355953,0
LTE,736,1,255,3344387,0,-63.202285766602,-17.816390991211,1000,1,1,1439237171,1439237171,0
LTE,736,1,255,3378179,0,-63.181686401367,-17.812271118164,1000,1,1,1440542861,1440542861,0
LTE,736,1,10103,2857474,0,-68.12416,-16.497574,4116,3,1,1458598165,1479886136,0
LTE,736,1,10100,2855937,0,-68.133774,-16.502518,1000,15,1,1458598164,1476711261,0
LTE,736,1,10100,2817794,0,-68.142513,-16.490291,1000,11,1,1458598164,1478412121,0
LTE,736,1,10100,2882562,0,-68.127079,-16.507409,2927,13,1,1458598164,1505676807,0
LTE,736,1,10102,2817281,0,-68.191452,-16.495285,1000,3,1,1458598164,1475391726,0
LTE,736,1,20002,3096833,0,-66.115036010742,-17.372817993164,1000,1,1,1454189340,1454189340,0
LTE,736,1,10102,2830594,0,-68.167076,-16.490135,1037,4,1,1458598164,1477379387,0
LTE,736,1,10103,2820098,0,-68.135136,-16.505539,1000,5,1,1458598164,1506265035,0
LTE,736,1,10103,2870275,0,-68.121927,-16.509141,1941,67,1,1458598165,1479877971,0
LTE,736,1,10100,2819074,0,-68.14373,-16.496658,1000,4,1,1458598164,1473658547,0
LTE,736,1,10102,2830595,0,-68.168793,-16.492195,1000,4,1,1458598164,1479886136,0
LTE,736,1,10101,2862595,0,-68.128738,-16.526718,1000,9,1,1458598164,1481508744,0
LTE,736,1,10103,2870273,0,-68.117294,-16.501053,1000,5,1,1458598165,1478790305,0
LTE,736,1,10100,2822658,0,-68.1427,-16.513138,1000,2,1,1458598164,1477154349,0
